timestamp,journal_id,player,stacks,guardian_points
1702670503,3691762594,5b00011b42, Bonifaziuz,4,898850
1702596112,3687025088,570003d701, Boiti,2,1503614
1702670475,3691759987,5b00011b42, Bonifaziuz,4,932795
1702596073,3687022170,570003d701, Boiti,2,1584869
1702670446,3691757588,5b00011b42, Bonifaziuz,4,911768
1702595915,3687010441,570003d701, Boiti,3,1157199
1702595883,3687008184,570003d701, Boiti,3,1279189
1702595710,3686995456,570003d701, Boiti,4,1059447
1702595654,3686991205,570003d701, Boiti,4,1120392
1702595556,3686983831,570003d701, Boiti,4,1041502
1702595505,3686979839,570003d701, Boiti,4,1099249
1702595461,3686976402,570003d701, Boiti,4,1132564
1702595379,3686970016,570003d701, Boiti,4,1219551
1702596107,3687024731,5a00028bbd, BOL,2,873205
1702595342,3686967244,570003d701, Boiti,4,1147687
1702596037,3687019494,5a00028bbd, BOL,3,1242389
1702595279,3686962360,570003d701, Boiti,4,1249112
1702595924,3687011072,5a00028bbd, BOL,3,1288007
1702595249,3686960123,570003d701, Boiti,4,1330119
1702595222,3686958020,570003d701, Boiti,4,1333126
1702595768,3686999650,5a00028bbd, BOL,4,1342436
1702595181,3686954770,570003d701, Boiti,4,1230438
1702595669,3686992387,5a00028bbd, BOL,4,1286744
1702595145,3686951990,570003d701, Boiti,4,1353863
1702595452,3686975696,5a00028bbd, BOL,4,1330548
1702595104,3686948773,570003d701, Boiti,4,1443480
1702595379,3686970033,5a00028bbd, BOL,4,1140472
1702595029,3686942738,570003d701, Boiti,4,1296780
1702595296,3686963675,5a00028bbd, BOL,4,1187919
1702594954,3686936871,570003d701, Boiti,4,1298911
1702595186,3686955162,5a00028bbd, BOL,4,1239672
1702595097,3686948143,5a00028bbd, BOL,4,1260723
1702595054,3686944751,5a00028bbd, BOL,4,1299390
1702596118,3687025534,5200005f61, Brave Sir Robin,2,1017736
1702596090,3687023411,5200005f61, Brave Sir Robin,2,1078669
1702596061,3687021241,5200005f61, Brave Sir Robin,2,1106603
1702596016,3687017877,5200005f61, Brave Sir Robin,3,800607
1702595984,3687015504,5200005f61, Brave Sir Robin,3,943843
1702595945,3687012679,5200005f61, Brave Sir Robin,3,971526
1702595916,3687010500,5200005f61, Brave Sir Robin,3,912305
1702595858,3687006380,5200005f61, Brave Sir Robin,3,875692
1702595798,3687001926,5200005f61, Brave Sir Robin,3,837310
1702595752,3686998519,5200005f61, Brave Sir Robin,4,743728
1702595709,3686995373,5200005f61, Brave Sir Robin,4,840024
1702595640,3686990119,5200005f61, Brave Sir Robin,4,797198
1702595602,3686987286,5200005f61, Brave Sir Robin,4,913808
1702595558,3686983956,5200005f61, Brave Sir Robin,4,900619
1702595505,3686979827,5200005f61, Brave Sir Robin,4,859304
1702595461,3686976376,5200005f61, Brave Sir Robin,4,882868
1702595410,3686972406,5200005f61, Brave Sir Robin,4,922478
1702595371,3686969412,5200005f61, Brave Sir Robin,4,977760
1702595324,3686965845,5200005f61, Brave Sir Robin,4,1035752
1702595262,3686961120,5200005f61, Brave Sir Robin,4,1021629
1702595213,3686957257,5200005f61, Brave Sir Robin,4,1079476
1702595176,3686954427,5200005f61, Brave Sir Robin,4,1066192
1702595134,3686951175,5200005f61, Brave Sir Robin,4,1217418
1702595095,3686947999,5200005f61, Brave Sir Robin,4,1103008
1702595053,3686944668,5200005f61, Brave Sir Robin,4,1117415
1702594977,3686938625,5200005f61, Brave Sir Robin,4,1000608
1702594941,3686935821,5200005f61, Brave Sir Robin,4,1045554
1702667878,3691543365,5b00011b42, Bonifaziuz,2,1632714
1702667852,3691541019,5b00011b42, Bonifaziuz,3,1150790
1702667793,3691535817,5b00011b42, Bonifaziuz,3,1205021
1702667770,3691533667,5b00011b42, Bonifaziuz,3,1203228
1702667743,3691531309,5b00011b42, Bonifaziuz,3,1217550
1702667679,3691525503,5b00011b42, Bonifaziuz,3,1221928
1702667393,3691496842,5b00011b42, Bonifaziuz,4,1066203
1702667313,3691488308,5b00011b42, Bonifaziuz,4,1057096
1702667260,3691483007,5b00011b42, Bonifaziuz,4,1066828
1702667200,3691476764,5b00011b42, Bonifaziuz,4,1084068
1702667148,3691471384,5b00011b42, Bonifaziuz,4,1049209
1702667051,3691461458,5b00011b42, Bonifaziuz,4,1045651
1702667001,3691456578,5b00011b42, Bonifaziuz,4,1054270
1702666969,3691453500,5b00011b42, Bonifaziuz,4,1069268
1702666845,3691442214,5b00011b42, Bonifaziuz,4,1050099
1702664121,3691217207,5b00011b42, Bonifaziuz,2,1655377
1702664072,3691212785,5b00011b42, Bonifaziuz,3,1218438
1702664004,3691206362,5b00011b42, Bonifaziuz,3,1269484
1702663937,3691200112,5b00011b42, Bonifaziuz,4,1036067
1702663866,3691193324,5b00011b42, Bonifaziuz,4,962328
1702663817,3691188516,5b00011b42, Bonifaziuz,4,937185
1702663774,3691184434,5b00011b42, Bonifaziuz,4,941656
1702663730,3691180191,5b00011b42, Bonifaziuz,4,886506
1702663476,3691155055,5b00011b42, Bonifaziuz,4,943000
1702671684,3691880078,780003faf4, Bubaximus,2,1526622
1702671649,3691877057,780003faf4, Bubaximus,2,1468076
1702671612,3691873783,780003faf4, Bubaximus,3,1410184
1702671568,3691869703,780003faf4, Bubaximus,3,1527630
1702671492,3691862818,780003faf4, Bubaximus,3,1041036
1702671464,3691860193,780003faf4, Bubaximus,3,1510800
